code,fr,en
023,DIRECTION GENERALE A LA RECHERCHE EXTERIEURE,DIRECTORATE GENERAL FOR EXTERNAL RESEARCH
070,ADMINISTRATION TERRITORIALE ET DECENTRALISATION,
,TERRITORIAL ADMINISTRATION AND DECENTRALISATION,
080,Justice,Justice
120,Delegation Generale De La Surete Nationale,General Delegation For National Security 
130,Defense,Defence
140,Arts et Culture,Culture
150,Education de Base,Basic Education 
160,,Sports and Physical Education 
170,Communication,Communication 
180,Enseignement Superieur,Higher Education 
190,Recherche Scientifique et Innovations,Scientific Research And Innovations 
200,Finances,Finance
210,Commerce,Trade
220,"ECONOMIE, DE LA PLANNIFICATION ET DE L' AMENAGEMENT DU TERRITOIRE","ECONOMY, PLANNING AND REGIONAL DEVELOPMENT"
230,Tourisme et Loisirs,Tourism
250,Enseignement Secondaires,Secondary Education 
260,Jeunesse et de lâ€™Education Civique,Youth
280,"ENVIRONNEMENT, PROTECTION DE LA NATURE ET DU DEVELOPPEMENT DURABLE",ENVIRONMENT AND NATURE PROTECTION
300,AGRICULTURE ET DEVELOPPEMENT RURAL,AGRICULTURE AND RURAL DEVELOPMENT
310,"ELEVAGE, PECHES ET INDUSTRIES ANIMALES","LIVESTOCK, FISHERIES AND ANIMAL INDUST."
320,ENERGIE ET EAU,ENERGY AND WATER
330,FORETS ET FAUNE,FORESTRY AND WILDLIFE
350,EMPLOI ET FORMATION PROFESSIONNELLE,EMPLOYMENT AND VOCATIONAL TRAINING
360,TRAVAUX PUBLICS,PUBLIC WORKS
370,"Domaines, Cadastre et Affaires Foncieres",State Property and Land
380,HABITAT ET DEVELOPPEMENT URBAIN,HOUSING AND URBAN DEVELOPMENT
390,"PETITES ET MOYENNES ENTREPRISES, ECONOMIE SOCIALE ET ARTISANAT","SMALL AND MEDIUM SIZE ENTERPRISES, SOCIAL ECONOMY AND HANDICRAFT"
400,Sante Publique,PUBLIC HEALTH
410,Travail et Securite Sociale,Labour and Social Insurance 
420,,Social Affairs
430,Promotion de la femme et de la famille,Women and family affairs
450,Postes et Telecommunications,Posts and Telecommunications 
460,Transports,Transport 
500,Fonction Publique et Reforme Administrative,Public Service and Administrative Reform